City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Adrian,US,76.59,broken clouds,41.8975,-84.0372,"Holiday Inn Express Adrian, an IHG Hotel"
316,Buchanan,LR,77.95,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
318,Coihaique,CL,52.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
320,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
321,Rancho Palos Verdes,US,73.51,scattered clouds,33.7445,-118.387,Terranea Resort
322,Dongying,CN,54.3,clear sky,37.4564,118.4856,Wanda Realm
323,Salinopolis,BR,83.68,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
324,Itoman,JP,75.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
325,Alexandria,EG,72.79,clear sky,31.2156,29.9553,فندق قاعود
326,Panaba,MX,87.85,clear sky,21.2833,-88.2667,Hotel Don Fernando
327,Mayo,US,67.12,broken clouds,38.8876,-76.5119,Resorts Resource Group International
330,Sao Joao Da Barra,BR,75.76,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
331,Wiang Sa,TH,78.85,broken clouds,8.6359,99.3666,ชำนาญอินน์
332,Moose Factory,CA,57.02,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
333,Shingu,JP,57.81,overcast clouds,33.7333,135.9833,Shingu UI Hotel
335,Abonnema,NG,77.67,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
336,Santa Maria Del Oro,MX,73.4,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
338,Malakal,SS,72.23,light rain,9.5334,31.6605,Nile Palace Hotel
340,Kavaratti,IN,81.34,overcast clouds,10.5669,72.642,Green leaf
343,Samarai,PG,79.92,scattered clouds,-10.6167,150.6667,Nuli Sapi
344,Lahat,ID,73.27,light rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
345,Viransehir,TR,64.47,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
346,Katsuura,JP,62.89,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
347,Kaka,TM,61.97,overcast clouds,37.3482,59.6143,
348,Hasaki,JP,57.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
349,Pomabamba,PE,63.72,broken clouds,-8.8333,-77.4667,VIVIENDA - ELSA CABELLO
